"","Races","Year","Deaths"
"1","White_AllCauses",1991,893
"2","White_AllCauses",1992,877
"3","White_AllCauses",1993,897
"4","White_AllCauses",1994,885
"5","White_AllCauses",1995,882
"6","White_AllCauses",1996,869
"7","White_AllCauses",1997,855
"8","White_AllCauses",1998,849
"9","White_AllCauses",1999,854
"10","White_AllCauses",2000,849
"11","White_AllCauses",2001,840
"12","White_AllCauses",2002,839
"13","White_AllCauses",2003,827
"14","White_AllCauses",2004,798
"15","White_AllCauses",2005,801
"16","White_AllCauses",2006,779
"17","White_AllCauses",2007,764
"18","White_AllCauses",2008,767
"19","White_AllCauses",2009,742
"20","White_AllCauses",2010,741
"21","White_AllCauses",2011,738
"22","White_AllCauses",2012,730
"23","White_AllCauses",2013,731
"24","White_AllCauses",2014,725
"25","White_AllCauses",2015,735
"26","White_AllCauses",2016,729
"27","White_AllCauses",2017,734
"28","White_AllCauses",2018,725
"29","White_AllCauses",2019,728
"30","White_AllCauses",2021,717
"31","White_AllCauses",2022,720
"32","White_HeartDiseases",1991,307
"33","White_HeartDiseases",1992,299
"34","White_HeartDiseases",1993,302
"35","White_HeartDiseases",1994,292
"36","White_HeartDiseases",1995,288
"37","White_HeartDiseases",1996,281
"38","White_HeartDiseases",1997,273
"39","White_HeartDiseases",1998,266
"40","White_HeartDiseases",1999,261
"41","White_HeartDiseases",2000,253
"42","White_HeartDiseases",2001,245
"43","White_HeartDiseases",2002,240
"44","White_HeartDiseases",2003,231
"45","White_HeartDiseases",2004,217
"46","White_HeartDiseases",2005,213
"47","White_HeartDiseases",2006,202
"48","White_HeartDiseases",2007,192
"49","White_HeartDiseases",2008,189
"50","White_HeartDiseases",2009,180
"51","White_HeartDiseases",2010,176
"52","White_HeartDiseases",2011,172
"53","White_HeartDiseases",2012,168
"54","White_HeartDiseases",2013,168
"55","White_HeartDiseases",2014,165
"56","White_HeartDiseases",2015,167
"57","White_HeartDiseases",2016,164
"58","White_HeartDiseases",2017,164
"59","White_HeartDiseases",2018,162
"60","White_HeartDiseases",2019,163
"61","White_HeartDiseases",2021,160
"62","White_HeartDiseases",2022,161
"63","Black_AllCauses",1991,1235
"64","Black_AllCauses",1992,1206
"65","Black_AllCauses",1993,1241
"66","Black_AllCauses",1994,1216
"67","Black_AllCauses",1995,1213
"68","Black_AllCauses",1996,1178
"69","Black_AllCauses",1997,1139
"70","Black_AllCauses",1998,1127
"71","Black_AllCauses",1999,1135
"72","Black_AllCauses",2000,1121
"73","Black_AllCauses",2001,1106
"74","Black_AllCauses",2002,1097
"75","Black_AllCauses",2003,1080
"76","Black_AllCauses",2004,1043
"77","Black_AllCauses",2005,1035
"78","Black_AllCauses",2006,997
"79","Black_AllCauses",2007,972
"80","Black_AllCauses",2008,947
"81","Black_AllCauses",2009,912
"82","Black_AllCauses",2010,898
"83","Black_AllCauses",2011,877
"84","Black_AllCauses",2012,864
"85","Black_AllCauses",2013,860
"86","Black_AllCauses",2014,849
"87","Black_AllCauses",2015,851
"88","Black_AllCauses",2016,857
"89","Black_AllCauses",2017,854
"90","Black_AllCauses",2018,852
"91","Black_AllCauses",2019,867
"92","Black_AllCauses",2021,843
"93","Black_AllCauses",2022,858
"94","Black_HeartDiseases",1991,385
"95","Black_HeartDiseases",1992,373
"96","Black_HeartDiseases",1993,382
"97","Black_HeartDiseases",1994,363
"98","Black_HeartDiseases",1995,363
"99","Black_HeartDiseases",1996,351
"100","Black_HeartDiseases",1997,342
"101","Black_HeartDiseases",1998,339
"102","Black_HeartDiseases",1999,334
"103","Black_HeartDiseases",2000,324
"104","Black_HeartDiseases",2001,318
"105","Black_HeartDiseases",2002,313
"106","Black_HeartDiseases",2003,305
"107","Black_HeartDiseases",2004,286
"108","Black_HeartDiseases",2005,278
"109","Black_HeartDiseases",2006,263
"110","Black_HeartDiseases",2007,252
"111","Black_HeartDiseases",2008,243
"112","Black_HeartDiseases",2009,231
"113","Black_HeartDiseases",2010,224
"114","Black_HeartDiseases",2011,214
"115","Black_HeartDiseases",2012,211
"116","Black_HeartDiseases",2013,210
"117","Black_HeartDiseases",2014,206
"118","Black_HeartDiseases",2015,205
"119","Black_HeartDiseases",2016,205
"120","Black_HeartDiseases",2017,202
"121","Black_HeartDiseases",2018,203
"122","Black_HeartDiseases",2019,206
"123","Black_HeartDiseases",2021,200
"124","Black_HeartDiseases",2022,203
